a,b,c
1.0000000000000000,7.7083954811096191,0.9856023788452148
2.0000000000000000,5.7744679450988770,0.7309297919273376
3.0000000000000000,3.7824926376342773,0.4841881394386292
4.0000000000000000,2.3665196895599365,0.3282633125782013
5.0000000000000000,1.5286664962768555,0.2394567131996155
6.0000000000000000,0.9593868255615234,0.1353346556425095
7.0000000000000000,0.6303883790969849,0.0602322369813919
8.0000000000000000,0.6303883790969849,0.0602322369813919
9.0000000000000000,0.6303883790969849,0.0602322369813919
10.0000000000000000,0.6303883790969849,0.0602322369813919
20.0000000000000000,0.4207596778869629,0.0395799912512302
30.0000000000000000,0.2353216707706451,0.0224219150841236
40.0000000000000000,0.0848990753293037,0.0079455533996224
50.0000000000000000,0.0608105435967445,0.0053229597397149
60.0000000000000000,0.0503622815012932,0.0043755513615906
70.0000000000000000,0.0351736471056938,0.0030915793031454
80.0000000000000000,0.0258533768355846,0.0022422210313380
90.0000000000000000,0.0181447677314281,0.0015588396927342
100.0000000000000000,0.0132184000685811,0.0011328289983794
200.0000000000000000,0.0040111322887242,0.0003405182214919
300.0000000000000000,0.0005436624051072,0.0000460175469925
400.0000000000000000,0.0004572908801492,0.0000382294128940
500.0000000000000000,0.0003135193255730,0.0000262734010903
600.0000000000000000,0.0002670970279723,0.0000222952821787
700.0000000000000000,0.0002079088008031,0.0000173568732862
800.0000000000000000,0.0001784258784028,0.0000148849758261
900.0000000000000000,0.0001413342979504,0.0000117876325021
1000.0000000000000000,0.0001203450156027,0.0000100355318864
2000.0000000000000000,0.0000248851392826,0.0000020698073513
3000.0000000000000000,0.0000076417863966,0.0000006329001394
4000.0000000000000000,0.0000041873809096,0.0000003461344420
5000.0000000000000000,0.0000032824250411,0.0000002714899381
6000.0000000000000000,0.0000029077634736,0.0000002407640238
7000.0000000000000000,0.0000026829852686,0.0000002222106872
8000.0000000000000000,0.0000025097785965,0.0000002078880499
9000.0000000000000000,0.0000023569928089,0.0000001952641355
10000.0000000000000000,0.0000022211411306,0.0000001840593313
20000.0000000000000000,0.0000010673593351,0.0000000884242510
30000.0000000000000000,0.0000005159075158,0.0000000427145750
40000.0000000000000000,0.0000002776905603,0.0000000229708750
50000.0000000000000000,0.0000001661642699,0.0000000137329463
60000.0000000000000000,0.0000001122287969,0.0000000092680938
70000.0000000000000000,0.0000000858427853,0.0000000070857609
80000.0000000000000000,0.0000000722902840,0.0000000059662768
90000.0000000000000000,0.0000000650391314,0.0000000053683316
99998.0000000000000000,0.0000000611531377,0.0000000050482556
