a,b,c
0.0000000000000000,13406.9453125000000000,1.0502454042434692
1.0000000000000000,13406.9453125000000000,1.0502454042434692
2.0000000000000000,13406.9453125000000000,1.0502454042434692
3.0000000000000000,13406.9453125000000000,1.0502454042434692
4.0000000000000000,13404.5449218750000000,1.0317248106002808
5.0000000000000000,13403.6416015625000000,1.0063775777816772
6.0000000000000000,13403.6416015625000000,1.0063775777816772
7.0000000000000000,13403.6416015625000000,1.0063775777816772
8.0000000000000000,13403.6416015625000000,1.0063775777816772
10.0000000000000000,13403.6416015625000000,1.0063775777816772
12.0000000000000000,13403.6250000000000000,1.0088758468627930
15.0000000000000000,13403.5791015625000000,1.0181145668029785
18.0000000000000000,13403.5136718750000000,1.0216287374496460
22.0000000000000000,13403.4130859375000000,1.0213675498962402
26.0000000000000000,13403.2890625000000000,1.0291826725006104
31.0000000000000000,13403.1181640625000000,1.0325994491577148
38.0000000000000000,13402.8310546875000000,1.0446267127990723
46.0000000000000000,13402.3740234375000000,1.0611238479614258
55.0000000000000000,13401.5781250000000000,1.0886594057083130
66.0000000000000000,13399.5371093750000000,1.1225833892822266
79.0000000000000000,13381.7939453125000000,1.1725660562515259
95.0000000000000000,12740.7128906250000000,1.0346648693084717
114.0000000000000000,12417.1855468750000000,0.9612930417060852
137.0000000000000000,5048.3012695312500000,0.4217168092727661
164.0000000000000000,605.2244873046875000,0.2494548559188843
197.0000000000000000,14.7851333618164062,0.1837729066610336
237.0000000000000000,2.8779051303863525,0.1768068969249725
284.0000000000000000,2.1594467163085938,0.1673165261745453
341.0000000000000000,1.8320087194442749,0.1602128446102142
410.0000000000000000,1.3006786108016968,0.1466658711433411
492.0000000000000000,1.1679824590682983,0.1424757540225983
590.0000000000000000,0.9292364716529846,0.1328320205211639
708.0000000000000000,0.8257499337196350,0.1268271058797836
850.0000000000000000,0.7208832502365112,0.1179012581706047
1020.0000000000000000,0.6524758934974670,0.1094068512320518
1224.0000000000000000,0.5975117087364197,0.1013109833002090
1469.0000000000000000,0.5442901849746704,0.0930048972368240
1763.0000000000000000,0.4751227796077728,0.0819163843989372
2116.0000000000000000,0.4205852150917053,0.0729753300547600
2539.0000000000000000,0.3523329496383667,0.0615239292383194
3047.0000000000000000,0.2876411974430084,0.0503592863678932
3657.0000000000000000,0.2215257138013840,0.0385755822062492
4388.0000000000000000,0.1616736054420471,0.0275977067649364
5266.0000000000000000,0.1082945391535759,0.0173491984605789
6319.0000000000000000,0.0701203569769859,0.0096669690683484
7583.0000000000000000,0.0454829409718513,0.0044894060119987
9100.0000000000000000,0.0309252887964249,0.0016534785972908
10920.0000000000000000,0.0213877595961094,0.0004723087477032
13104.0000000000000000,0.0140403369441628,0.0001219244295498
15725.0000000000000000,0.0095532974228263,0.0000379047341994
18870.0000000000000000,0.0074516455642879,0.0000169332288351
22644.0000000000000000,0.0061320061795413,0.0000094092074505
27173.0000000000000000,0.0051927068270743,0.0000065320646172
32608.0000000000000000,0.0044437656179070,0.0000048593205975
39130.0000000000000000,0.0037764240987599,0.0000039707920223
46956.0000000000000000,0.0032093189656734,0.0000030565593079
56347.0000000000000000,0.0027263322845101,0.0000024582502647
67617.0000000000000000,0.0023176211398095,0.0000019105825686
81140.0000000000000000,0.0019485569791868,0.0000014248184925
97368.0000000000000000,0.0016521390061826,0.0000010507366142
99998.0000000000000000,0.0016122835222632,0.0000010153527228
