a,b,c
0.0000000000000000,0.4533754885196686,0.5309500098228455
1.0000000000000000,0.4533754885196686,0.5309500098228455
2.0000000000000000,0.4105648696422577,0.4549752473831177
3.0000000000000000,0.2644872963428497,0.1843066662549973
4.0000000000000000,0.2503259181976318,0.1335635483264923
5.0000000000000000,0.2503259181976318,0.1335635483264923
6.0000000000000000,0.2503259181976318,0.1335635483264923
7.0000000000000000,0.2354051917791367,0.1208343878388405
8.0000000000000000,0.2249619662761688,0.1128561049699783
10.0000000000000000,0.2249619662761688,0.1128561049699783
12.0000000000000000,0.2231644243001938,0.1136662364006042
15.0000000000000000,0.2184135466814041,0.1096744015812874
18.0000000000000000,0.2114992737770081,0.1050566807389259
22.0000000000000000,0.2012579143047333,0.1000413075089455
26.0000000000000000,0.1932341754436493,0.0956889167428017
31.0000000000000000,0.1852990388870239,0.0917736291885376
38.0000000000000000,0.1754589378833771,0.0851873680949211
46.0000000000000000,0.1678716987371445,0.0812424644827843
55.0000000000000000,0.1621872335672379,0.0779993459582329
66.0000000000000000,0.1573350131511688,0.0753165856003761
79.0000000000000000,0.1525764018297195,0.0728682279586792
95.0000000000000000,0.1463391333818436,0.0696635246276855
114.0000000000000000,0.1344964355230331,0.0637276992201805
137.0000000000000000,0.1161024570465088,0.0548101365566254
164.0000000000000000,0.1142978072166443,0.0537977032363415
197.0000000000000000,0.1052213981747627,0.0493933223187923
237.0000000000000000,0.0737508013844490,0.0344938114285469
284.0000000000000000,0.0574439913034439,0.0269607305526733
341.0000000000000000,0.0456094108521938,0.0215889364480972
410.0000000000000000,0.0298297051340342,0.0144453719258308
492.0000000000000000,0.0269769392907619,0.0131314499303699
590.0000000000000000,0.0222274456173182,0.0110018830746412
708.0000000000000000,0.0195287764072418,0.0097712818533182
850.0000000000000000,0.0169793013483286,0.0086206616833806
1020.0000000000000000,0.0140354726463556,0.0072920625098050
1224.0000000000000000,0.0116520076990128,0.0062183099798858
1469.0000000000000000,0.0100488085299730,0.0054919952526689
1763.0000000000000000,0.0081336991861463,0.0046194847673178
2116.0000000000000000,0.0059131532907486,0.0035992176271975
2539.0000000000000000,0.0043541728518903,0.0028709357138723
3047.0000000000000000,0.0034559264313430,0.0024433450307697
3657.0000000000000000,0.0026857831981033,0.0020677300635725
4388.0000000000000000,0.0020122067071497,0.0017286003567278
5266.0000000000000000,0.0014658187283203,0.0014503343263641
6319.0000000000000000,0.0009005198371597,0.0011657823342830
7583.0000000000000000,0.0004495982138906,0.0009394772350788
9100.0000000000000000,0.0002224396594102,0.0008436228963546
9792.0000000000000000,0.0001676650426816,0.0008328366675414
