a,b
0.0057328333094704,0.1133984027104832
0.0171984999284113,0.3383769418037247
0.0286641665473521,0.5609253089853511
0.0401298331662930,0.7810363714139765
0.0515954997852338,0.9987028170724194
0.0630611664041747,1.2139171493910033
0.0745268330231155,1.4266716816888705
0.0859924996420564,1.6369585314267656
0.0974581662609972,1.8447696142645413
0.1089238328799381,2.0500966379163845
0.1203894994988789,2.2529310957965558
0.1318551661178198,2.4532642604481718
0.1433208327367606,2.6510871767473323
0.1547864993557015,2.8463906548746416
0.1662521659746423,3.0391652630459305
0.1777178325935832,3.2294013199937210
0.1891834992125240,3.4170888871907441
0.2006491658314649,3.6022177608065373
0.2121148324504057,3.7847774633879308
0.2235804990693466,3.9647572352539568
0.2350461656882874,4.1421460255954585
0.2465118323072283,4.3169324832694755
0.2579774989261692,4.4891049472781832
0.2694431655451100,4.6586514369219962
0.2809088321640508,4.8255596416161968
0.2923744987829917,4.9898169103602248
0.3038401654019325,5.1514102408486426
0.3153058320208734,5.3103262682125765
0.3267714986398143,5.4665512533802696
0.3382371652587551,5.6200710710453601
0.3497028318776960,5.7708711972313225
0.3611684984966368,5.9189366964405199
0.3726341651155776,6.0642522083763408
0.3840998317345185,6.2068019342268776
0.3955654983534593,6.3465696224988317
0.4070311649724002,6.4835385543904200
0.4184968315913410,6.6176915286923954
0.4299624982102819,6.7490108462066170
0.4414281648292228,6.8774782936721079
0.4528938314481636,7.0030751271890468
0.4643594980671044,7.1257820551319586
0.4758251646860454,7.2455792205441361
0.4872908313049862,7.3624461830063899
0.4987564979239270,7.4763618999744637
0.5102221645428678,7.5873047075808522
0.5216878311618087,7.6952523008984279
0.5331534977807495,7.8001817136652711
0.5446191643996904,7.9020692974722282
0.5560848310186313,8.0008907004174361
0.5675504976375721,8.0966208452348436
0.5790161642565129,8.1892339069072246
0.5904818308754538,8.2787032897779653
0.6019474974943947,8.3650016041802147
0.6134131641133355,8.4481006426069367
0.6248788307322763,8.5279713554509229
0.6363444973512172,8.6045838263500407
0.6478101639701580,8.6779072471801211
0.6592758305890990,8.7479098927455912
0.6707414972080398,8.8145590952270076
0.6822071638269805,8.8778212184543648
0.6936728304459215,8.9376616320861828
0.7051384970648623,8.9940446857866636
0.7166041636838031,9.0469336835069463
0.7280698303027441,9.0962908579917201
0.7395354969216849,9.1420773456493372
0.7510011635406257,9.1842531619424594
0.7624668301595666,9.2227771774768446
0.7739324967785074,9.2576070949890141
0.7853981633974483,9.2886994274586847
0.7968638300163892,9.3160094775997830
0.8083294966353299,9.3394913190145026
0.8197951632542708,9.3590977793284011
0.8312608298732117,9.3747804256613794
0.8427264964921526,9.3864895528295396
0.8541921631110934,9.3941741747167438
0.8656578297300342,9.3977820193023813
0.8771234963489751,9.3972595278834525
0.8885891629679159,9.3925518590850494
0.9000548295868568,9.3836028983134678
0.9115204962057977,9.3703552733709827
0.9229861628247384,9.3527503770204721
0.9344518294436793,9.3307283973619271
0.9459174960626201,9.3042283569610387
0.9573831626815611,9.2731881617524792
0.9688488293005020,9.2375446608270035
0.9803144959194428,9.1972337183010957
0.9917801625383835,9.1521902985607326
1.0032458291573243,9.1023485662651336
1.0147114957762653,9.0476420025917204
1.0261771623952063,8.9880035392979636
1.0376428290141471,8.9233657122678167
1.0491084956330878,8.8536608362976175
1.0605741622520286,8.7788212029562107
