a,b
0.0038218888729803,-0.0000215935407596
0.0114656666189409,-0.0000413121464566
0.0191094443649014,-0.0000313868561897
0.0267532221108620,0.0000062380020196
0.0343969998568226,0.0000696563067539
0.0420407776027831,0.0001570012302270
0.0496845553487437,0.0002664463007466
0.0573283330947042,0.0003962064388870
0.0649721108406648,0.0005445389656083
0.0726158885866254,0.0007097445805156
0.0802596663325860,0.0008901683084082
0.0879034440785465,0.0010842004122376
0.0955472218245071,0.0012902772705474
0.1031909995704677,0.0015068822174430
0.1108347773164282,0.0017325463431023
0.1184785550623888,0.0019658492528144
0.1261223328083494,0.0022054197825030
0.1337661105543099,0.0024499366686788
0.1414098883002705,0.0026981291707410
0.1490536660462310,0.0029487776435399
0.1566974437921916,0.0032007140581087
0.1643412215381522,0.0034528224684630
0.1719849992841128,0.0037040394223840
0.1796287770300733,0.0039533543141009
0.1872725547760339,0.0041998096768158
0.1949163325219944,0.0044425014130359
0.2025601102679550,0.0046805789607151
0.2102038880139156,0.0049132453932458
0.2178476657598762,0.0051397574514020
0.2254914435058367,0.0053594255053860
0.2331352212517973,0.0055716134452128
0.2407789989977579,0.0057757384977392
0.2484227767437184,0.0059712709687486
0.2560665544896790,0.0061577339085969
0.2637103322356396,0.0063347027000468
0.2713541099816001,0.0065018045670471
0.2789978877275607,0.0066587180033519
0.2866416654735213,0.0068051721200326
0.2942854432194819,0.0069409459110924
0.3019292209654424,0.0070658674365918
0.3095729987114030,0.0071798129228606
0.3172167764573636,0.0072827057796075
0.3248605542033241,0.0073745155339255
0.3325043319492846,0.0074552566814521
0.3401481096952453,0.0075249874551727
0.3477918874412058,0.0075838085126034
0.3554356651871663,0.0076318615423812
0.3630794429331269,0.0076693277915428
0.3707232206790875,0.0076964265150815
0.3783669984250481,0.0077134133496516
0.3860107761710087,0.0077205786136116
0.3936545539169692,0.0077182455358961
0.4012983316629298,0.0077067684165367
0.4089421094088904,0.0076865307219599
0.4165858871548509,0.0076579431185295
0.4242296649008115,0.0076214414481144
0.4318734426467720,0.0075774846497947
0.4395172203927327,0.0075265526321326
0.4471609981386932,0.0074691441007581
0.4548047758846537,0.0074057743463297
0.4624485536306143,0.0073369729982161
0.4700923313765749,0.0072632817495468
0.4777361091225354,0.0071852520595570
0.4853798868684960,0.0071034428393943
0.4930236646144566,0.0070184181278000
0.5006674423604172,0.0069307447633162
0.5083112201063777,0.0068409900598343
0.5159549978523382,0.0067497194924999
0.5235987755982989,0.0066574944011181
0.5312425533442594,0.0065648697183273
0.5388863310902200,0.0064723917298999
0.5465301088361806,0.0063805958745715
0.5541738865821411,0.0062900045908447
0.5618176643281018,0.0062011252181785
0.5694614420740622,0.0061144479599657
0.5771052198200228,0.0060304439155824
0.5847489975659834,0.0059495631887253
0.5923927753119439,0.0058722330790859
0.6000365530579045,0.0057988563642397
0.6076803308038651,0.0057298096784191
0.6153241085498257,0.0056654419946306
0.6229678862957861,0.0056060732162557
0.6306116640417467,0.0055519928840579
0.6382554417877074,0.0055034590041433
0.6458992195336679,0.0054606970021231
0.6535429972796285,0.0054238988083666
0.6611867750255890,0.0053932220788511
0.6688305527715496,0.0053687895557640
0.6764743305175103,0.0053506885715758
0.6841181082634707,0.0053389706999574
0.6917618860094313,0.0053336515564574
0.6994056637553919,0.0053347107514758
0.7070494415013524,0.0053420919976741
0.7146932192473131,0.0053557033735001
0.7223369969932736,0.0053754177441558
0.7299807747392342,0.0054010733408961
0.7376245524851948,0.0054324744991366
0.7452683302311552,0.0054693925554664
0.7529121079771158,0.0055115669032336
0.7605558857230765,0.0055587062059602
0.7681996634690370,0.0056104897674590
0.7758434412149976,0.0056665690570427
0.7834872189609581,0.0057265693878399
0.7911309967069187,0.0057900917457274
0.7987747744528794,0.0058567147659240
0.8064185521988398,0.0059259968538042
0.8140623299448004,0.0059974784459070
0.8217061076907609,0.0060706844065570
0.8293498854367215,0.0061451265548749
0.8369936631826822,0.0062203063162851
0.8446374409286427,0.0062957174918423
0.8522812186746033,0.0063708491379341
0.8599249964205637,0.0064451885480106
0.8675687741665243,0.0065182243270344
0.8752125519124849,0.0065894495483005
0.8828563296584455,0.0066583649811849
0.8905001074044061,0.0067244823771154
0.8981438851503667,0.0067873277998246
0.9057876628963272,0.0068464449845190
0.9134314406422878,0.0069013987091394
0.9210752183882484,0.0069517781593668
0.9287189961342089,0.0069972002673543
0.9363627738801695,0.0070373130025141
0.9440065516261300,0.0070717985908965
0.9516503293720906,0.0071003766379164
0.9592941071180513,0.0071228071273236
0.9669378848640118,0.0071388932674543
0.9745816626099724,0.0071484841539206
0.9822254403559328,0.0071514772160817
0.9898692181018934,0.0071478204127866
0.9975129958478539,0.0071375141411991
1.0051567735938147,0.0071206128208661
1.0128005513397751,0.0070972261137201
1.0204443290857357,0.0070675197394270
1.0280881068316963,0.0070317158444375
1.0357318845776569,0.0069900928823639
1.0433756623236174,0.0069429849628870
1.0510194400695780,0.0068907806265041
1.0586632178155386,0.0068339210029467
1.0663069955614990,0.0067728973123481
1.0739507733074596,0.0067082476701541
1.0815945510534204,0.0066405531595929
1.0892383287993808,0.0065704331393541
1.0968821065453414,0.0064985397591181
1.1045258842913019,0.0064255516620187
1.1121696620372625,0.0063521668610736
1.1198134397832231,0.0062790947864790
1.1274572175291837,0.0062070475126341
1.1351009952751443,0.0061367301880966
1.1427447730211049,0.0060688307088427
1.1503885507670653,0.0060040086953679
1.1580323285130258,0.0059428838579294
1.1656761062589867,0.0058860238616976
1.1733198840049470,0.0058339318354155
1.1809636617509076,0.0057870337034597
1.1886074394968682,0.0057456655623497
1.1962512172428288,0.0057100613689602
1.2038949949887894,0.0056803412587216
1.2115387727347500,0.0056565008680040
1.2191825504807106,0.0056384020946231
1.2268263282266709,0.0056257657930316
1.2344701059726315,0.0056181669642565
1.2421138837185921,0.0056150330619521
1.2497576614645527,0.0056156460911274
1.2574014392105133,0.0056191492189667
1.2650452169564739,0.0056245586400487
1.2726889947024345,0.0056307814304223
1.2803327724483951,0.0056366400728500
1.2879765501943554,0.0056409042218507
1.2956203279403160,0.0056423300805539
1.3032641056862766,0.0056397074564315
1.3109078834322374,0.0056319141203254
1.3185516611781980,0.0056179764808801
1.3261954389241584,0.0055971347725211
1.3338392166701190,0.0055689099123101
1.3414829944160795,0.0055331678952794
1.3491267721620401,0.0054901760810925
1.3567705499080007,0.0054406440351543
1.3644143276539611,0.0053857398575520
1.3720581053999217,0.0053270714115512
1.3797018831458823,0.0052666209658991
1.3873456608918431,0.0052066221391320
1.3949894386378037,0.0051493706228785
1.4026332163837643,0.0050969662465333
1.4102769941297246,0.0050509951150224
1.4179207718756852,0.0050121784829370
1.4255645496216458,0.0049800409071440
1.4332083273676064,0.0049526834672813
1.4408521051135668,0.0049267837154993
1.4484958828595274,0.0048979696109620
1.4561396606054879,0.0048617033840309
1.4637834383514485,0.0048147174808986
1.4714272160974093,0.0047568060364492
1.4790709938433699,0.0046923397482219
1.4867147715893303,0.0046302858407598
1.4943585493352909,0.0045811172351045
1.5020023270812515,0.0045497106913298
1.5096461048272121,0.0045267466241780
1.5172898825731727,0.0044881009933031
1.5249336603191330,0.0044168551438576
1.5325774380650936,0.0043435856813792
