a,b,c
0.0000000000000000,7.3721785545349121,1.0393487215042114
1.0000000000000000,7.3721785545349121,1.0393487215042114
2.0000000000000000,7.3721785545349121,1.0393487215042114
3.0000000000000000,7.3721785545349121,1.0393487215042114
4.0000000000000000,4.8120088577270508,0.9723379611968994
5.0000000000000000,3.9820783138275146,0.9679238796234131
6.0000000000000000,3.1512672901153564,0.7849660515785217
7.0000000000000000,2.1313230991363525,0.4872979819774628
8.0000000000000000,1.5907100439071655,0.2714003622531891
10.0000000000000000,1.5907100439071655,0.2714003622531891
12.0000000000000000,0.8498463034629822,0.1480512619018555
15.0000000000000000,0.7236648797988892,0.1102482005953789
18.0000000000000000,0.6762945652008057,0.0807263478636742
22.0000000000000000,0.6719281077384949,0.0742791220545769
26.0000000000000000,0.6407628059387207,0.0686167925596237
31.0000000000000000,0.5705650448799133,0.0702409595251083
38.0000000000000000,0.5402657985687256,0.0720945969223976
46.0000000000000000,0.4567794203758240,0.0528582409024239
55.0000000000000000,0.3572596013545990,0.0470489300787449
66.0000000000000000,0.2357799857854843,0.0258710253983736
79.0000000000000000,0.1987535804510117,0.0157921109348536
95.0000000000000000,0.1894087493419647,0.0154100395739079
114.0000000000000000,0.1865929067134857,0.0162448063492775
137.0000000000000000,0.1842615306377411,0.0156580004841089
164.0000000000000000,0.1814042925834656,0.0151928700506687
197.0000000000000000,0.1773143410682678,0.0146184153854847
237.0000000000000000,0.1757704317569733,0.0143626201897860
284.0000000000000000,0.1748367249965668,0.0142910294234753
341.0000000000000000,0.1717109233140945,0.0139593398198485
410.0000000000000000,0.1593123376369476,0.0130035215988755
492.0000000000000000,0.1559268236160278,0.0127029698342085
590.0000000000000000,0.0685755461454391,0.0067351632751524
708.0000000000000000,0.0471890941262245,0.0042655742727220
850.0000000000000000,0.0385461859405041,0.0034645134583116
1020.0000000000000000,0.0305171906948090,0.0027233641594648
1224.0000000000000000,0.0232185404747725,0.0021385459695011
1469.0000000000000000,0.0181560013443232,0.0017241525929421
1763.0000000000000000,0.0154840778559446,0.0014238056028262
2116.0000000000000000,0.0131279854103923,0.0012062126770616
2539.0000000000000000,0.0111638223752379,0.0010255622910336
3047.0000000000000000,0.0092515535652637,0.0008421693346463
3657.0000000000000000,0.0073574720881879,0.0006730781751685
4388.0000000000000000,0.0058290995657444,0.0005353680462576
5266.0000000000000000,0.0048641166649759,0.0004357079742476
6319.0000000000000000,0.0040931045077741,0.0003582893987186
7583.0000000000000000,0.0033711728174239,0.0002866729337256
9100.0000000000000000,0.0025830352678895,0.0002107326581609
10920.0000000000000000,0.0017794343875721,0.0001347147626802
13104.0000000000000000,0.0011484087444842,0.0000737471200409
15725.0000000000000000,0.0008865691488609,0.0000558666251891
18870.0000000000000000,0.0008424366824329,0.0000756047302275
22644.0000000000000000,0.0008328003459610,0.0000879930230440
27173.0000000000000000,0.0008426014683209,0.0000958787713898
32608.0000000000000000,0.0008517573587596,0.0001006431630231
39130.0000000000000000,0.0008595310500823,0.0001036569301505
46956.0000000000000000,0.0008611797820777,0.0001049762213370
56347.0000000000000000,0.0008587690535933,0.0001052041188814
67617.0000000000000000,0.0008529279730283,0.0001046758552548
81140.0000000000000000,0.0008471251931041,0.0001040218339767
97368.0000000000000000,0.0008370541618206,0.0001027871403494
99998.0000000000000000,0.0008352497825399,0.0001025760502671
