a,b,c
0.0000000000000000,7.3721990585327148,1.0393487215042114
1.0000000000000000,7.3721990585327148,1.0393487215042114
2.0000000000000000,7.3721990585327148,1.0393487215042114
3.0000000000000000,7.3721990585327148,1.0393487215042114
4.0000000000000000,4.8122568130493164,0.9723379611968994
5.0000000000000000,3.9827291965484619,0.9679238796234131
6.0000000000000000,3.1522836685180664,0.7849660515785217
7.0000000000000000,2.1325926780700684,0.4872979819774628
8.0000000000000000,1.5921373367309570,0.2714003622531891
10.0000000000000000,1.5921373367309570,0.2714003622531891
12.0000000000000000,0.8524041175842285,0.1480512619018555
15.0000000000000000,0.7269386649131775,0.1102482005953789
18.0000000000000000,0.6799541711807251,0.0807263478636742
22.0000000000000000,0.6757529377937317,0.0742791220545769
26.0000000000000000,0.6448065638542175,0.0686167925596237
31.0000000000000000,0.5743812322616577,0.0702409595251083
38.0000000000000000,0.5439692735671997,0.0720945969223976
46.0000000000000000,0.4611774384975433,0.0528582409024239
55.0000000000000000,0.3614840209484100,0.0470489300787449
66.0000000000000000,0.2407361716032028,0.0258710253983736
79.0000000000000000,0.2043913453817368,0.0157921109348536
95.0000000000000000,0.1949507594108582,0.0154100395739079
114.0000000000000000,0.1919696927070618,0.0162448063492775
137.0000000000000000,0.1896825432777405,0.0156580004841089
164.0000000000000000,0.1868305504322052,0.0151928700506687
197.0000000000000000,0.1827359199523926,0.0146184153854847
237.0000000000000000,0.1812058240175247,0.0143626201897860
284.0000000000000000,0.1802554130554199,0.0142910294234753
341.0000000000000000,0.1771223098039627,0.0139593398198485
410.0000000000000000,0.1646678149700165,0.0130035215988755
492.0000000000000000,0.1612828522920609,0.0127029698342085
590.0000000000000000,0.0736224800348282,0.0067351632751524
708.0000000000000000,0.0522374883294106,0.0042655742727220
850.0000000000000000,0.0434815883636475,0.0034645134583116
1020.0000000000000000,0.0354236140847206,0.0027233641594648
1224.0000000000000000,0.0280159767717123,0.0021385459695011
1469.0000000000000000,0.0227828323841095,0.0017241525929421
1763.0000000000000000,0.0200523156672716,0.0014238056028262
2116.0000000000000000,0.0175572559237480,0.0012062126770616
2539.0000000000000000,0.0154842231422663,0.0010255622910336
3047.0000000000000000,0.0134701263159513,0.0008421693346463
3657.0000000000000000,0.0114077283069491,0.0006730781751685
4388.0000000000000000,0.0096558304503560,0.0005353680462576
5266.0000000000000000,0.0084848739206791,0.0004357079742476
6319.0000000000000000,0.0074771586805582,0.0003582893987186
7583.0000000000000000,0.0065116826444864,0.0002866729337256
9100.0000000000000000,0.0054107969626784,0.0002107326581609
10920.0000000000000000,0.0041499040089548,0.0001347147626802
13104.0000000000000000,0.0027890426572412,0.0000737471200409
15725.0000000000000000,0.0011726580560207,0.0000558666251891
18870.0000000000000000,0.0003252826572862,0.0000756047302275
22644.0000000000000000,0.0001472085714340,0.0000879930230440
27173.0000000000000000,0.0000890512092155,0.0000958787713898
32608.0000000000000000,0.0000584491572226,0.0001006431630231
39130.0000000000000000,0.0000399441778427,0.0001036569301505
46956.0000000000000000,0.0000284524321614,0.0001049762213370
56347.0000000000000000,0.0000216099288082,0.0001052041188814
67617.0000000000000000,0.0000175501536432,0.0001046758552548
81140.0000000000000000,0.0000149869647430,0.0001040218339767
97368.0000000000000000,0.0000129832060338,0.0001027871403494
99998.0000000000000000,0.0000127152316054,0.0001025760502671
