a,b,c
0.0000000000000000,7.4439206123352051,1.0393487215042114
1.0000000000000000,7.4439206123352051,1.0393487215042114
2.0000000000000000,6.4538254737854004,0.8066342473030090
3.0000000000000000,4.6266598701477051,0.6266748905181885
4.0000000000000000,3.5596582889556885,0.5279962420463562
5.0000000000000000,3.0965182781219482,0.4539361894130707
6.0000000000000000,2.7831017971038818,0.3463581204414368
7.0000000000000000,2.4407696723937988,0.2292023748159409
8.0000000000000000,2.2182676792144775,0.1920966655015945
10.0000000000000000,1.9976221323013306,0.2610175311565399
12.0000000000000000,1.7772320508956909,0.1535280793905258
15.0000000000000000,1.1206792593002319,0.4618176221847534
18.0000000000000000,0.6198443174362183,0.2695410549640656
22.0000000000000000,0.3278771936893463,0.4527431130409241
26.0000000000000000,0.3139761090278625,0.3461589515209198
31.0000000000000000,0.2731401920318604,0.3478572368621826
38.0000000000000000,0.1931253522634506,0.3104253709316254
46.0000000000000000,0.1497381627559662,0.3674332201480865
55.0000000000000000,0.1102801188826561,0.2779313325881958
66.0000000000000000,0.0694310143589973,0.3356468379497528
79.0000000000000000,0.0425419211387634,0.3107813894748688
95.0000000000000000,0.0290487799793482,0.2941911518573761
114.0000000000000000,0.0286573190242052,0.2956662774085999
137.0000000000000000,0.0273967608809471,0.2903049290180206
164.0000000000000000,0.0252698939293623,0.2885326743125916
197.0000000000000000,0.0219976399093866,0.2868466973304749
237.0000000000000000,0.0167452357709408,0.2860690653324127
284.0000000000000000,0.0146951274946332,0.2865562438964844
341.0000000000000000,0.0122329536825418,0.2854583561420441
410.0000000000000000,0.0084224632009864,0.2847422361373901
492.0000000000000000,0.0074656545184553,0.2849433422088623
590.0000000000000000,0.0066962684504688,0.2854485511779785
708.0000000000000000,0.0062070810236037,0.2860988676548004
850.0000000000000000,0.0056593492627144,0.2872547209262848
1020.0000000000000000,0.0051801572553813,0.2868560850620270
1224.0000000000000000,0.0045379898510873,0.2870329618453979
1469.0000000000000000,0.0036804038099945,0.2866365015506744
1763.0000000000000000,0.0028632811736315,0.2876969873905182
2116.0000000000000000,0.0023184025194496,0.2882094383239746
2539.0000000000000000,0.0021072840318084,0.2886631786823273
3047.0000000000000000,0.0018938867142424,0.2890150547027588
3657.0000000000000000,0.0016409849049523,0.2893279492855072
4388.0000000000000000,0.0013607931323349,0.2895395755767822
5266.0000000000000000,0.0011386444093660,0.2896864116191864
6319.0000000000000000,0.0009258390637115,0.2898381948471069
7583.0000000000000000,0.0007247311878018,0.2900722622871399
9100.0000000000000000,0.0005998639971949,0.2902528345584869
10920.0000000000000000,0.0004674721858464,0.2903595566749573
13104.0000000000000000,0.0003247373970225,0.2906562983989716
15725.0000000000000000,0.0002434701891616,0.2908331751823425
18870.0000000000000000,0.0002052365889540,0.2909451425075531
22644.0000000000000000,0.0001879951450974,0.2910010516643524
27173.0000000000000000,0.0001727427879814,0.2910316586494446
32608.0000000000000000,0.0001571838802192,0.2910591959953308
39130.0000000000000000,0.0001409600808984,0.2910872399806976
46956.0000000000000000,0.0001249536144314,0.2911213636398315
56347.0000000000000000,0.0001093009559554,0.2911553382873535
67617.0000000000000000,0.0000949242385104,0.2911902368068695
81140.0000000000000000,0.0000821048597572,0.2912261188030243
97368.0000000000000000,0.0000701004319126,0.2912622988224030
99998.0000000000000000,0.0000683734033373,0.2912676334381104
